
##################################################
#             Conservación de Energía            #
##################################################

Step, tiempo, energía total
550, 5.5, 0.226468
551, 5.51, 0.226077
552, 5.52, 0.225687
553, 5.53, 0.225298
554, 5.54, 0.22491
555, 5.55, 0.224524
556, 5.56, 0.224138
557, 5.57, 0.223754
558, 5.58, 0.223371
559, 5.59, 0.222989
560, 5.6, 0.222608
561, 5.61, 0.222228
562, 5.62, 0.221849
563, 5.63, 0.221472
564, 5.64, 0.221095
565, 5.65, 0.22072
566, 5.66, 0.220345
567, 5.67, 0.219972
568, 5.68, 0.2196
569, 5.69, 0.219229
570, 5.7, 0.218859
571, 5.71, 0.21849
572, 5.72, 0.218122
573, 5.73, 0.217755
574, 5.74, 0.217389
575, 5.75, 0.217024
576, 5.76, 0.21666
577, 5.77, 0.216298
578, 5.78, 0.215936
579, 5.79, 0.215575
580, 5.8, 0.215216
581, 5.81, 0.214857
582, 5.82, 0.2145
583, 5.83, 0.214143
584, 5.84, 0.213788
585, 5.85, 0.213433
586, 5.86, 0.213079
587, 5.87, 0.212727
588, 5.88, 0.212375
589, 5.89, 0.212025
590, 5.9, 0.211675
591, 5.91, 0.211327
592, 5.92, 0.210979
593, 5.93, 0.210632
594, 5.94, 0.210287
595, 5.95, 0.209942
596, 5.96, 0.209598
597, 5.97, 0.209255
598, 5.98, 0.208914
599, 5.99, 0.208573
600, 6, 0.208233
601, 6.01, 0.207894
602, 6.02, 0.207556
603, 6.03, 0.207219
604, 6.04, 0.206882
605, 6.05, 0.206547
606, 6.06, 0.206213
607, 6.07, 0.205879
608, 6.08, 0.205547
609, 6.09, 0.205215
610, 6.1, 0.204885
611, 6.11, 0.204555
612, 6.12, 0.204226
613, 6.13, 0.203898
614, 6.14, 0.203571
615, 6.15, 0.203245
616, 6.16, 0.202919
617, 6.17, 0.202595
618, 6.18, 0.202272
619, 6.19, 0.201949
620, 6.2, 0.201627
621, 6.21, 0.201306
622, 6.22, 0.200986
623, 6.23, 0.200667
624, 6.24, 0.200349
625, 6.25, 0.200031
626, 6.26, 0.199715
627, 6.27, 0.199399
628, 6.28, 0.199084
629, 6.29, 0.19877
630, 6.3, 0.198457
631, 6.31, 0.198145
632, 6.32, 0.197833
633, 6.33, 0.197522
634, 6.34, 0.197213
635, 6.35, 0.196904
636, 6.36, 0.196595
637, 6.37, 0.196288
638, 6.38, 0.195981
639, 6.39, 0.195676
640, 6.4, 0.195371
641, 6.41, 0.195067
642, 6.42, 0.194763
643, 6.43, 0.194461
644, 6.44, 0.194159
645, 6.45, 0.193858
646, 6.46, 0.193558
647, 6.47, 0.193259
648, 6.48, 0.19296
649, 6.49, 0.192663
650, 6.5, 0.192366
651, 6.51, 0.192069
652, 6.52, 0.191774
653, 6.53, 0.191479
654, 6.54, 0.191185
655, 6.55, 0.190892
656, 6.56, 0.1906
657, 6.57, 0.190308
658, 6.58, 0.190018
659, 6.59, 0.189727
660, 6.6, 0.189438
661, 6.61, 0.18915
662, 6.62, 0.188862
663, 6.63, 0.188575
664, 6.64, 0.188288
665, 6.65, 0.188003
666, 6.66, 0.187718
667, 6.67, 0.187434
668, 6.68, 0.18715
669, 6.69, 0.186868
670, 6.7, 0.186586
671, 6.71, 0.186305
672, 6.72, 0.186024
673, 6.73, 0.185744
674, 6.74, 0.185465
675, 6.75, 0.185187
676, 6.76, 0.184909
677, 6.77, 0.184632
678, 6.78, 0.184356
679, 6.79, 0.184081
680, 6.8, 0.183806
681, 6.81, 0.183532
682, 6.82, 0.183258
683, 6.83, 0.182986
684, 6.84, 0.182713
685, 6.85, 0.182442
686, 6.86, 0.182171
